bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
3065130073,3170598,829 East 10th Street,11230,Multifamily Housing,0,1938,64200,1,6,117.9,,,4.75,Multifamily Home,,0,665364.41,65,4887600,,,59,,,0,
4097540001,4459168,155-02 90th Avenue,11432,Multifamily Housing,0,1992,56778,1,8,174.6,,,5.86,Multifamily Home,,0,,81,,,,80,,,,
1021700252,1064073,390 Wadsworth Avenue,10040,Multifamily Housing,0,1912,50000,1,6,138,,,7.76,,,,,,,,,,,,,
1005950016,1010327,466 Washington Street,10013,Multifamily Housing,0,1926,56000,1,8,69.8,,,2.41,,,,,,,,,,,,,
1007780043,1014264,330 7th Avenue,10001,Office,0,1920,217084,1,21,165.9,,,5.7,,,,,,,,,,,,,
3067320028,3180610,1256 East 13th Street,11230,Multifamily Housing,0,1938,52000,1,6,113.9,,,4.36,Multifamily Home,,0,616863.91,65,3701300,,,59,,,,
3035900011,3326582,345 Thatford Avenue,11212,Multifamily Housing,0,1976,269233,2,9,208.4,,,8.59,Multifamily Home,"{'Multifamily Home': 239983.0, 'Retail': 2450.0, 'Office': 26800.0}",0,,526,,,0.37,132,,,,
2029900001,2010670,1662 Hoe Avenue,10460,Multifamily Housing,0,1926,52000,1,6,142.6,,,5.7,Multifamily Home,,0,766770.58,81,3588077.06,,,55,,,,
3017000017,3325185,1660-70 Fulton Street,11213,Multifamily Housing,0,1974,175390,1,6,174.5,,,5.15,Multifamily Home,"{'Multifamily Home': 168025.0, 'Retail': 7365.0}",0,,326,,,,141,,,,
2032500040,2015403,2835 Webb Avenue,10468,Multifamily Housing,0,1959,75560,1,8,152.8,,,9.12,Multifamily Home,"{'Multifamily Home': 75560.0, 'Parking': 7440.0}",0,,115,,,,74,,,,
2028110003,2007733,230 East 179th Street,10457,Multifamily Housing,0,1972,130000,1,16,170.2,,,8.26,,,,,,,,,,,,,
3016840001,3047699,1595 Fulton Street,11213,Multifamily Housing,0,1980,278208,1,6,120.8,,,4.89,Multifamily Home,,0,,454,,,,248,,,,
3067030035,3179451,855 East 19th Street,11230,Multifamily Housing,0,1940,76860,1,6,137.6,,,5.58,Multifamily Home,,0,861005.62,72,6966600,,,60,,,,
1007290163,1012841,424 W. 33rd Street,10001,Office,88,1913,208000,,,174.6,,,6.02,Office,"{'Data Center': 3072.0, 'Other': 7752.0, 'Office': 197176.0}",1,9694771.7,,417606.45,,2.22,,,,,3314802.57
1010650012,1026842,423 W 55th St,10019,Office,0,1905,250425,1,12,152.8,,,4.81,Office,"{'Data Center': 902.0, 'Retail': 31153.0, 'Other': 41259.0, 'Office': 177111.0}",1,9708098.95,,3077.42,,2.43,,,2569079.05,,
1012690041,1034532,680 Fifth Avenue,10019,Office,79,1957,230193,1,27,192.7,,,6.4,Office,"{'Bank/Financial Institution': 19774.0, 'Retail': 41456.0, 'Office': 168963.0}",0,11757739.39,,,7635698.17,1.69,,,,,
1012817501,,360 Madison Avenue,10017,Office,45,2003,345360,1,24,291.9,,,8.87,,,,,,,,,,,,,
1010330036,1083728,300 West 43rd Street,10036,Office,65,1908,72038,2,6,195,,,7.24,Office,,0,4748733.43,,,,2.3,,,,,
1007630018,1013681,333 West 39 Street,10018,Office,91,1929,92337,1,14,158.6,,,6.16,Office,"{'Retail': 5943.0, 'Office': 86394.0}",0,3475850.46,,2316.13,,4.56,,,4438096,,
2045420001,2054713,2901 White Plains Road,10467,Office,68,1927,53500,1,2,117.6,,,3.69,Office,"{'Retail': 24500.0, 'Office': 29000.0}",0,,,,,0.69,,,,,
1008580006,1016898,3 E 28th St,10016,Office,90,1913,51844,1,12,142.9,,,5.38,Office,"{'Retail': 6408.0, 'Office': 45436.0}",0,1901152.09,,2558.06,,5.19,,,1885679.06,,
1008180066,1015400,26 W 17th St,10011,Office,94,1905,107967,1,12,121.1,,,3.8,Office,,0,4073425.01,,1832.26,,3.6,,,1450871.36,,
1005630046,1009141,57 E 11th St,10003,Office,73,1904,54814,1,10,170.5,,,6.1,Office,"{'Retail': 7575.0, 'Office': 47239.0}",0,2447580.91,,60619.35,,2.51,,,2656061.77,,
1010920036,1027098,599 11th Ave,10036,Office,83,1905,56036,1,8,92.4,,,3.36,Warehouse (Unrefrigerated),"{'Warehouse (Unrefrigerated)': 30752.0, 'Office': 21114.0}",0,2005853.38,,2080.65,,1.07,,,1884334.14,,
1005110015,1007945,598 BROADWAY,10012,Office,0,1904,78616,1,12,154.6,,,4.68,Office,"{'Office': 42005.0, 'Warehouse (Unrefrigerated)': 5544.0, 'Data Center': 75.0, 'Other': 500.0, 'Multifamily Home': 19404.0, 'Retail': 11088.0}",1,3616891.23,11,134785.5,,4.52,5,,,130389.73,
1008150021,1015277,104 W 40th St,10018,Office,0,1962,230610,1,20,180.1,,,7.34,Office,"{'Data Center': 192.0, 'Retail': 5894.0, 'Office': 228913.0}",1,12929969.69,,639688.05,12697379.52,0.74,,,,,
1012620001,1034313,1180 Avenue of the Americas,10036,Office,65,1962,348914,1,22,234.3,,,8.07,Office,"{'Data Center': 2463.0, 'Retail': 8992.0, 'Other': 5423.0, 'Office': 331876.0}",1,21055482.82,,,14439599.21,3.18,,,,,
3024430034,3063433,109 S. 5th St.,11249,Other,0,1903,61706,1,6,94.5,,,3.58,Other,,0,796638.16,,3499583.33,,,,,,276583.93,
1008000068,1014993,152 West 25th Street,10001,Office,0,1911,66115,1,12,52.9,,,3.07,Office,"{'Multifamily Home': 19835.0, 'Office': 46280.0}",0,349252.32,,6109.68,,1.3,7,,,2611958.19,
1007790013,1014282,245 West 29th Street,10001,Office,99,1928,107040,1,17,125.4,,,6.13,Office,,0,2439161.75,,9800.59,,9.34,,,,,7391716.89
1007760059,1014239,236 West 27th Street,10001,Office,100,1929,94331,1,15,61.8,,,4.85,Office,,0,6218284.43,,,,3.18,,,,,
1008570076,1016896,245 5th Avenue,10016,Office,87,1927,304348,1,24,169.1,,,5.71,,,,,,,,,,,,,
1008600045,1016967,450/460 Park Avenue South,10016,Office,92,1912,153950,2,12,138.1,,,4.3,,,,,,,,,,,,,
1008560058,1016881,60 Madison Avenue,10010,Office,72,1910,164057,1,12,206.8,,,6.67,,,,,,,,,,,,,
1007850011,1014423,253 West 35th Street,10001,Office,91,1924,132174,1,16,156.1,,,5.22,Office,"{'Data Center': 1862.0, 'Other': 12217.0, 'Office': 118095.0}",1,5134573.86,,1006,,2.92,,,,,2279657.89
1007050046,1080338,516 W 34th Street,10001,Office,69,1933,272700,4,12,247.7,,,7.87,Office,"{'Data Center': 120.0, 'Office': 272580.0}",1,19523546.5,,608796.58,,4.41,,,,,5045253.99
